issue,title,platform,group,release,release_converted,link,download_links,external_download_links
"MM! #46, Mail Madness! #46","Mail Madness, Mail Madness!",Commodore 64,Unlimited,17 November 2002,17.11.2002,https://csdb.dk//release/?id=7307,"ftp://ftp.padua.org/pub/c64/Magazines/mail_madness/Mail_Madness_46.zip, http://csdb.dk/getinternalfile.php/64518/mm46.zip",http://ftp.pokefinder.org/index.php?s=Mail%20Madness%2046&sourceid=csdb
"MM! 48, MM! #48, Mail Madness! #48","Mail Madness, Mail Madness!",Commodore 64,Unlimited,23 February 2003,23.02.2003,https://csdb.dk//release/?id=8609,"ftp://ftp.padua.org/pub/c64/Magazines/mail_madness/Mail_Madness_48.zip, http://csdb.dk/getinternalfile.php/64520/mm48.zip",http://ftp.pokefinder.org/index.php?s=Mail%20Madness%2048&sourceid=csdb
"MM! 49, MM! #49, Mail Madness! #49","Mail Madness, Mail Madness!",Commodore 64,Unlimited,April 2003,01.04.2003,https://csdb.dk//release/?id=8608,http://csdb.dk/getinternalfile.php/64521/mm49.zip,http://ftp.pokefinder.org/index.php?s=Mail%20Madness%2049&sourceid=csdb
"MM!, Mail Madness! #41","Mail Madness, Mail Madness!",Commodore 64,Unlimited,25 May 2002,25.05.2002,https://csdb.dk//release/?id=6313,http://csdb.dk/getinternalfile.php/64514/mm41.zip,http://ftp.pokefinder.org/index.php?s=Mail%20Madness%2041&sourceid=csdb
"MM!, MM #35, Mail Madness! #35","Mail Madness, Mail Madness!",Commodore 64,Telenova,December 2001,01.12.2001,https://csdb.dk//release/?id=7308,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Mail_Madness/Mail_Madness_35.zip, http://csdb.dk/getinternalfile.php/64508/Mail_Madness_35.zip",http://ftp.pokefinder.org/index.php?s=Mail%20Madness%2035&sourceid=csdb
"MM!, MM #45, Mail Madness! #45","Mail Madness, Mail Madness!",Commodore 64,Unlimited,13 October 2002,13.10.2002,https://csdb.dk//release/?id=7306,http://csdb.dk/getinternalfile.php/24814/mailmadness45.zip,http://ftp.pokefinder.org/index.php?s=Mail%20Madness%2045&sourceid=csdb
"Mojo Mag 9, Mojo-Mag #9","Mojo, Mojo Mag, Mojo-Mag",Commodore 64,Mojo-Mag Magazine Staff,April 1993,01.04.1993,https://csdb.dk//release/?id=227631,https://csdb.dk/getinternalfile.php/240128/MojoMag9.d64,http://ftp.pokefinder.org/index.php?s=MojoMag%209&sourceid=csdb
Mojo-Mag #10,"Mojo, Mojo Mag, Mojo-Mag",Commodore 64,Mojo-Mag Magazine Staff,1993,01.01.1993,https://csdb.dk//release/?id=227634,https://csdb.dk/getinternalfile.php/240131/mojofall93.d64,http://ftp.pokefinder.org/index.php?s=MojoMag%2010&sourceid=csdb
Mojo-Mag Feb 93,"Mojo, Mojo Mag, Mojo-Mag",Commodore 64,Mojo-Mag Magazine Staff,February 1993,01.02.1993,https://csdb.dk//release/?id=227632,https://csdb.dk/getinternalfile.php/240129/mojo293.d64,http://ftp.pokefinder.org/index.php?s=MojoMag%20Feb%2093&sourceid=csdb
Mojo-Mag Special #1,"Mojo, Mojo Mag, Mojo-Mag",Commodore 64,Mojo-Mag Magazine Staff,1992,01.01.1992,https://csdb.dk//release/?id=227633,https://csdb.dk/getinternalfile.php/240130/mojoBestOf92.d64,http://ftp.pokefinder.org/index.php?s=MojoMag%20Special%201&sourceid=csdb
Money Talks,Money Talks,Commodore 64,Coderz,,,https://csdb.dk//release/?id=166701,http://csdb.dk/getinternalfile.php/169672/moneytalks-C0D-sb184770-DemongerBox12.d64,http://ftp.pokefinder.org/index.php?s=Money%20Talks&sourceid=csdb
"Monster Edition, Skyhigh #10",Skyhigh,Commodore 64,Oxyron,28 March 1994,28.03.1994,https://csdb.dk//release/?id=5466,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Skyhigh/Skyhigh_10.zip, http://csdb.dk/getinternalfile.php/57784/Skyhigh_10.zip",http://ftp.pokefinder.org/index.php?s=Skyhigh%2010&sourceid=csdb
Monthly News #001,Monthly News,Commodore 64,Gloom,28 October 1990,28.10.1990,https://csdb.dk//release/?id=46285,http://csdb.dk/getinternalfile.php/37326/monthlynews01.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20001&sourceid=csdb
Monthly News #002,Monthly News,Commodore 64,Gloom,29 December 1990,29.12.1990,https://csdb.dk//release/?id=46281,http://csdb.dk/getinternalfile.php/37322/monthlynews02.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20002&sourceid=csdb
Monthly News #003,Monthly News,Commodore 64,Gloom,12 February 1991,12.02.1991,https://csdb.dk//release/?id=46279,http://csdb.dk/getinternalfile.php/37320/monthlynews03.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20003&sourceid=csdb
Monthly News #004,Monthly News,Commodore 64,Gloom,7 March 1991,07.03.1991,https://csdb.dk//release/?id=46278,http://csdb.dk/getinternalfile.php/37319/monthlynews04.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20004&sourceid=csdb
Monthly News #005,Monthly News,Commodore 64,Gloom,24 March 1991,24.03.1991,https://csdb.dk//release/?id=46274,http://csdb.dk/getinternalfile.php/37315/monthlynews05.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20005&sourceid=csdb
Monthly News #006,Monthly News,Commodore 64,Gloom,6 May 1991,06.05.1991,https://csdb.dk//release/?id=46260,http://csdb.dk/getinternalfile.php/37295/Monthly News #006.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20006&sourceid=csdb
Monthly News #007,Monthly News,Commodore 64,Gloom,6 June 1991,06.06.1991,https://csdb.dk//release/?id=46262,http://csdb.dk/getinternalfile.php/37296/monthlynews07.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20007&sourceid=csdb
Monthly News #008,Monthly News,Commodore 64,Gloom,30 July 1991,30.07.1991,https://csdb.dk//release/?id=46265,http://csdb.dk/getinternalfile.php/37299/monthlynews08.zip,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20008&sourceid=csdb
Monthly News Preview,Monthly News,Commodore 64,Gloom,,,https://csdb.dk//release/?id=228858,https://csdb.dk/getinternalfile.php/241501/Monthly_news_preview.d64,http://ftp.pokefinder.org/index.php?s=Monthly%20News%20Preview&sourceid=csdb
Moonlight #01 [hungarian],Moonlight,Commodore 64,Trias,1992,01.01.1992,https://csdb.dk//release/?id=197771,http://csdb.dk/getinternalfile.php/206177/Moonlight01.zip,http://ftp.pokefinder.org/index.php?s=Moonlight%2001%20hungarian&sourceid=csdb
Moonlight #02 [hungarian],Moonlight,Commodore 64,Trias,1992,01.01.1992,https://csdb.dk//release/?id=197772,http://csdb.dk/getinternalfile.php/206178/Moonlight02.zip,http://ftp.pokefinder.org/index.php?s=Moonlight%2002%20hungarian&sourceid=csdb
Moonlight #04 [hungarian],Moonlight,Commodore 64,Majic 12,August 1992,01.08.1992,https://csdb.dk//release/?id=162988,http://csdb.dk/getinternalfile.php/165551/nibbl.d64,http://ftp.pokefinder.org/index.php?s=Moonlight%2004%20hungarian&sourceid=csdb
Moonlight #1,Moonlight,Commodore 64,Gothic Design,19 June 1992,19.06.1992,https://csdb.dk//release/?id=26600,http://csdb.dk/getinternalfile.php/14890/Moonlight#1.D64,http://ftp.pokefinder.org/index.php?s=Moonlight%201&sourceid=csdb
Moonlight #2,Moonlight,Commodore 64,Gothic Design,15 September 1992,15.09.1992,https://csdb.dk//release/?id=26601,http://csdb.dk/getinternalfile.php/14891/Moonlight#2.d64,http://ftp.pokefinder.org/index.php?s=Moonlight%202&sourceid=csdb
Moonlight #3,Moonlight,Commodore 64,Gothic Design,1 February 1993,01.02.1993,https://csdb.dk//release/?id=26602,http://csdb.dk/getinternalfile.php/14892/Moonlight#3.d64,http://ftp.pokefinder.org/index.php?s=Moonlight%203&sourceid=csdb
Moonlight #4,Moonlight,Commodore 64,Gothic Design,April 1993,01.04.1993,https://csdb.dk//release/?id=26603,http://csdb.dk/getinternalfile.php/14893/Moonlight#4.d64,http://ftp.pokefinder.org/index.php?s=Moonlight%204&sourceid=csdb
Moonlight #5,Moonlight,Commodore 64,Gothic Design,30 June 1993,30.06.1993,https://csdb.dk//release/?id=26604,http://csdb.dk/getinternalfile.php/14894/Moonlight#5.D64,http://ftp.pokefinder.org/index.php?s=Moonlight%205&sourceid=csdb
Moonlight #6,Moonlight,Commodore 64,Gothic Design,6 September 1993,06.09.1993,https://csdb.dk//release/?id=26605,http://csdb.dk/getinternalfile.php/14895/Moonlight#6.d64,http://ftp.pokefinder.org/index.php?s=Moonlight%206&sourceid=csdb
Moonlight #7,Moonlight,Commodore 64,Gothic Design,24 January 1994,24.01.1994,https://csdb.dk//release/?id=5361,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Moonlight/Moonlight_07.zip, http://csdb.dk/getinternalfile.php/64542/Moonlight_07.zip",http://ftp.pokefinder.org/index.php?s=Moonlight%207&sourceid=csdb
Moonlight #8,Moonlight,Commodore 64,Gothic Design,15 August 1994,15.08.1994,https://csdb.dk//release/?id=70983,http://csdb.dk/getinternalfile.php/65276/Moonlight_08.zip,http://ftp.pokefinder.org/index.php?s=Moonlight%208&sourceid=csdb
