issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
64'er Magazin 87 12 (1987)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 12 (1987)(Markt & Technik)(de)(Side A),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-12_1987_Markt_Technik_de_Side_A,686272,English,software,,"14.04.2021, 23.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-12_1987_Markt_Technik_de_Side_A
64'er Magazin 87 12 (1987)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 87 12 (1987)(Markt & Technik)(de)(Side B),98,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_87-12_1987_Markt_Technik_de_Side_B,787886,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_87-12_1987_Markt_Technik_de_Side_B
64'er Magazin 88 01 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 01 (1988)(Markt & Technik)(de)(Side A),81,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-01_1988_Markt_Technik_de_Side_A,920497,English,software,,"14.04.2021, 16.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-01_1988_Markt_Technik_de_Side_A
64'er Magazin 88 01 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 01 (1988)(Markt & Technik)(de)(Side B),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-01_1988_Markt_Technik_de_Side_B,512272,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-01_1988_Markt_Technik_de_Side_B
64'er Magazin 88 02 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 02 (1988)(Markt & Technik)(de)(Side A),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-02_1988_Markt_Technik_de_Side_A,911776,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-02_1988_Markt_Technik_de_Side_A
64'er Magazin 88 02 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 02 (1988)(Markt & Technik)(de)(Side B),90,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-02_1988_Markt_Technik_de_Side_B,552114,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-02_1988_Markt_Technik_de_Side_B
64'er Magazin 88 03 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 03 (1988)(Markt & Technik)(de)(Side A),103,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-03_1988_Markt_Technik_de_Side_A,1415123,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-03_1988_Markt_Technik_de_Side_A
64'er Magazin 88 03 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 03 (1988)(Markt & Technik)(de)(Side B),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-03_1988_Markt_Technik_de_Side_B,552114,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-03_1988_Markt_Technik_de_Side_B
64'er Magazin 88 04 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 04 (1988)(Markt & Technik)(de)(Side A),102,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-04_1988_Markt_Technik_de_Side_A,1400621,English,software,,"14.04.2021, 01.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-04_1988_Markt_Technik_de_Side_A
64'er Magazin 88 04 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 04 (1988)(Markt & Technik)(de)(Side B),120,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-04_1988_Markt_Technik_de_Side_B,688909,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-04_1988_Markt_Technik_de_Side_B
64'er Magazin 88 05 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 05 (1988)(Markt & Technik)(de)(Side A),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-05_1988_Markt_Technik_de_Side_A,1413973,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-05_1988_Markt_Technik_de_Side_A
64'er Magazin 88 05 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 05 (1988)(Markt & Technik)(de)(Side B),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-05_1988_Markt_Technik_de_Side_B,439207,English,software,,"14.04.2021, 24.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-05_1988_Markt_Technik_de_Side_B
64'er Magazin 88 06 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 06 (1988)(Markt & Technik)(de)(Side A),94,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-06_1988_Markt_Technik_de_Side_A,1398662,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-06_1988_Markt_Technik_de_Side_A
64'er Magazin 88 07 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 07 (1988)(Markt & Technik)(de)(Side A),99,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-07_1988_Markt_Technik_de_Side_A,1400177,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-07_1988_Markt_Technik_de_Side_A
64'er Magazin 88 07 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 07 (1988)(Markt & Technik)(de)(Side B),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-07_1988_Markt_Technik_de_Side_B,800211,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-07_1988_Markt_Technik_de_Side_B
64'er Magazin 88 08 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 08 (1988)(Markt & Technik)(de)(Side A),81,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-08_1988_Markt_Technik_de_Side_A,1399303,English,software,,"14.04.2021, 28.04.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-08_1988_Markt_Technik_de_Side_A
64'er Magazin 88 08 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 08 (1988)(Markt & Technik)(de)(Side B),138,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-08_1988_Markt_Technik_de_Side_B,1818828,English,software,,"14.04.2021, 26.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-08_1988_Markt_Technik_de_Side_B
64'er Magazin 88 09 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 09 (1988)(Markt & Technik)(de)(Side A),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-09_1988_Markt_Technik_de_Side_A,1410082,English,software,,"14.04.2021, 14.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-09_1988_Markt_Technik_de_Side_A
64'er Magazin 88 09 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 09 (1988)(Markt & Technik)(de)(Side B),109,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-09_1988_Markt_Technik_de_Side_B,676589,English,software,,"14.04.2021, 17.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-09_1988_Markt_Technik_de_Side_B
64'er Magazin 88 10 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 10 (1988)(Markt & Technik)(de)(Side A),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-10_1988_Markt_Technik_de_Side_A,1402064,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-10_1988_Markt_Technik_de_Side_A
64'er Magazin 88 10 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 10 (1988)(Markt & Technik)(de)(Side B),96,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-10_1988_Markt_Technik_de_Side_B,934102,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-10_1988_Markt_Technik_de_Side_B
64'er Magazin 88 11 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 11 (1988)(Markt & Technik)(de)(Side A),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-11_1988_Markt_Technik_de_Side_A,1198061,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-11_1988_Markt_Technik_de_Side_A
64'er Magazin 88 11 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 11 (1988)(Markt & Technik)(de)(Side B),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-11_1988_Markt_Technik_de_Side_B,792048,English,software,,"14.04.2021, 23.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-11_1988_Markt_Technik_de_Side_B
64'er Magazin 88 12 (1988)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 12 (1988)(Markt & Technik)(de)(Side A),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-12_1988_Markt_Technik_de_Side_A,1414447,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-12_1988_Markt_Technik_de_Side_A
64'er Magazin 88 12 (1988)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 88 12 (1988)(Markt & Technik)(de)(Side B),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_88-12_1988_Markt_Technik_de_Side_B,676589,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_88-12_1988_Markt_Technik_de_Side_B
64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side A),90,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-01_1989_Markt_Technik_de_Side_A,1412480,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-01_1989_Markt_Technik_de_Side_A
64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side B),128,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-01_1989_Markt_Technik_de_Side_B,1623499,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-01_1989_Markt_Technik_de_Side_B
64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side C),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side C),90,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-01_1989_Markt_Technik_de_Side_C,430583,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-01_1989_Markt_Technik_de_Side_C
64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side D),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 01 (1989)(Markt & Technik)(de)(Side D),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-01_1989_Markt_Technik_de_Side_D,307026,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-01_1989_Markt_Technik_de_Side_D
64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 1 of 2 Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 1 of 2 Side A),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-02_1989_Markt_Technik_de_Disk_1_of_2_Side_A,1213004,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-02_1989_Markt_Technik_de_Disk_1_of_2_Side_A
64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 1 of 2 Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 1 of 2 Side B),103,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-02_1989_Markt_Technik_de_Disk_1_of_2_Side_B,490277,English,software,,"14.04.2021, 16.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-02_1989_Markt_Technik_de_Disk_1_of_2_Side_B
64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 2 of 2 Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 2 of 2 Side A),88,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-02_1989_Markt_Technik_de_Disk_2_of_2_Side_A,450404,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-02_1989_Markt_Technik_de_Disk_2_of_2_Side_A
64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 2 of 2 Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 02 (1989)(Markt & Technik)(de)(Disk 2 of 2 Side B),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-02_1989_Markt_Technik_de_Disk_2_of_2_Side_B,689089,English,software,,"14.04.2021, 21.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-02_1989_Markt_Technik_de_Disk_2_of_2_Side_B
64'er Magazin 89 03 (1989)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 03 (1989)(Markt & Technik)(de)(Side A),79,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-03_1989_Markt_Technik_de_Side_A,1415394,English,software,,"14.04.2021, 13.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-03_1989_Markt_Technik_de_Side_A
64'er Magazin 89 03 (1989)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 03 (1989)(Markt & Technik)(de)(Side B),105,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-03_1989_Markt_Technik_de_Side_B,1710824,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-03_1989_Markt_Technik_de_Side_B
64'er Magazin 89 04 (1989)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 04 (1989)(Markt & Technik)(de),84,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-04_1989_Markt_Technik_de,1403982,English,software,,"14.04.2021, 15.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-04_1989_Markt_Technik_de
64'er Magazin 89 05 (1989)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 05 (1989)(Markt & Technik)(de),89,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-05_1989_Markt_Technik_de,1404555,English,software,,"14.04.2021, 11.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-05_1989_Markt_Technik_de
64'er Magazin 89 06 (1989)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 06 (1989)(Markt & Technik)(de),116,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-06_1989_Markt_Technik_de,1415085,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-06_1989_Markt_Technik_de
64'er Magazin 89 06 (1989)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 06 (1989)(Markt & Technik)(de)(Side A),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-06_1989_Markt_Technik_de_Side_A,1415192,English,software,,"14.04.2021, 19.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-06_1989_Markt_Technik_de_Side_A
64'er Magazin 89 06 (1989)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 06 (1989)(Markt & Technik)(de)(Side B),117,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-06_1989_Markt_Technik_de_Side_B,475644,English,software,,"14.04.2021, 24.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-06_1989_Markt_Technik_de_Side_B
64'er Magazin 89 07 (1989)(Markt & Technik)(de)(Side A),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 07 (1989)(Markt & Technik)(de)(Side A),93,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-07_1989_Markt_Technik_de_Side_A,1399449,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-07_1989_Markt_Technik_de_Side_A
64'er Magazin 89 07 (1989)(Markt & Technik)(de)(Side B),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 07 (1989)(Markt & Technik)(de)(Side B),81,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-07_1989_Markt_Technik_de_Side_B,688906,English,software,,"14.04.2021, 22.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-07_1989_Markt_Technik_de_Side_B
64'er Magazin 89 08 (1989)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 89 08 (1989)(Markt & Technik)(de),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_89-08_1989_Markt_Technik_de,1213280,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_89-08_1989_Markt_Technik_de
